00561313620000100642268947	00561313620000100642268947	00561313620000100642268947	00561313620000100642268947	096619738397	096619738397	096619738397	096619738397	817974021258	817974021258	817974021258	817974021258					03014301	03014301	03014301	03014301								X001O78ZC9				X0016FAXSX				1679571000000005354125	95173000001121058025	95173000001121058025	95173000001121058025	95173000001121058025
0.079235	0.040089	0.043762	0.046899	0.040461	0.043763	0.043767	0.044525	0.041775	0.043263	0.045543	0.047325	0.042566	0.043449	0.044489	0.041758	0.042141	0.043679	0.043159	0.042029	0.039356	0.041969	0.040926	0.044116	0.039168	0.046924	0.043722	0.044293	0.040264	0.042639	0.046305	0.047531	0.041379	0.041878	0.04326	0.044727	0.042058	0.041306	0.039513	0.039767
I2/5	I2/5	I2/5	I2/5	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A					UPC-E	UPC-E	UPC-E	UPC-E								CODE-128				CODE-128				CODE-128	CODE-128	CODE-128	CODE-128	CODE-128
