00561313620000100642268947	00561313620000100642268947	00561313620000100642268947	00561313620000100642268947	096619738397	096619738397	096619738397	096619738397	817974021258	817974021258	817974021258	817974021258			858612003144	858612003144	03014301	03014301	03014301	03014301	X000VGHSGD	X000VGHSGD	X000VGHSGD	X000VGHSGD	X001O78ZC9	X001O78ZC9	X001O78ZC9	X001O78ZC9	X0016FAXSX	X0016FAXSX	X0016FAXSX	X0016FAXSX	1679571000000005354125	1679571000000005354125	1679571000000005354125	1679571000000005354125	95173000001121058025	95173000001121058025	95173000001121058025	95173000001121058025
0.244471	0.224213	0.238105	0.189091	0.093278	0.120237	0.1312	0.107486	0.0475	0.058704	0.063301	0.061321	0.076002	0.087827	0.061198	0.06075	0.043276	0.050471	0.05049	0.047577	0.051711	0.04213	0.054346	0.050633	0.042205	0.062966	0.061904	0.050167	0.034832	0.057182	0.058517	0.078142	0.09156	0.134136	0.118647	0.09968	0.132201	0.146457	0.174467	0.139141
itf	itf	itf	itf	upca	upca	upca	upca	upca	upca	upca	upca			upca	upca	upce	upce	upce	upce	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128	code128
