00561313620000100642268947	00561313620000100642268947	00561313620000100642268947	00561313620000100642268947	096619738397	096619738397	096619738397	096619738397	817974021258	817974021258	817974021258	817974021258			858612003144		03014301	03014301	03014301	03014301	X000VGHSGD	X000VGHSGD	X000VGHSGD	X000VGHSGD	X001O78ZC9	X001O78ZC9	X001O78ZC9	X001O78ZC9	X0016FAXSX	X0016FAXSX	X0016FAXSX		1679571000000005354125	1679571000000005354125	1679571000000005354125	1679571000000005354125	95173000001121058025	95173000001121058025	95173000001121058025	95173000001121058025
0.150996	0.150913	0.228522	0.233857	0.157138	0.156538	0.172906	0.175555	0.160633	0.159875	0.165341	0.169364	0.171271	0.165981	0.159907	0.159503	0.162063	0.165228	0.171923	0.17188	0.149582	0.146971	0.16696	0.166068	0.146516	0.164854	0.168332	0.167765	0.146608	0.217772	0.225767	0.220994	0.15733	0.160078	0.172618	0.170487	0.148953	0.150789	0.13409	0.133712
I2/5	I2/5	I2/5	I2/5	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A			UPC-A		UPC-E	UPC-E	UPC-E	UPC-E	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128		CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128
