00561313620000100642268947	00561313620000100642268947	00561313620000100642268947	00561313620000100642268947	096619738397	096619738397	096619738397	096619738397	817974021258	817974021258	817974021258	817974021258					03014301	03014301	03014301	03014301		X000VGHSGD	X000VGHSGD	X000VGHSGD		X001O78ZC9	X001O78ZC9	X001O78ZC9	X0016FAXSX	X0016FAXSX			1679571000000005354125	1679571000000005354125	1679571000000005354125	1679571000000005354125	95173000001121058025	95173000001121058025	95173000001121058025	
0.169613	0.162666	0.24163	0.246652	0.165683	0.166354	0.177198	0.178348	0.164217	0.162072	0.166281	0.169304	0.166522	0.168631	0.163785	0.166235	0.167335	0.171647	0.178583	0.182661	0.155655	0.157965	0.173963	0.171183	0.157975	0.152313	0.174373	0.172523	0.156246	0.148859	0.22331	0.224755	0.16385	0.160581	0.182722	0.176053	0.158373	0.15395	0.134467	0.140751
I2/5	I2/5	I2/5	I2/5	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A	UPC-A					UPC-E	UPC-E	UPC-E	UPC-E		CODE-128	CODE-128	CODE-128		CODE-128	CODE-128	CODE-128	CODE-128	CODE-128			CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	CODE-128	
